# x	f(x)	S_N(x)
-1.891239	0.053682	0.075690
-1.884956	0.054136	0.075740
-1.878672	0.054589	0.075789
-1.872389	0.055043	0.075837
-1.866106	0.055498	0.075884
-1.859823	0.055953	0.075930
-1.853540	0.056409	0.075974
-1.847256	0.056865	0.076018
-1.840973	0.057321	0.076060
-1.834690	0.057778	0.076101
-1.828407	0.058235	0.076141
-1.822124	0.058692	0.076180
-1.815841	0.059150	0.076218
-1.809557	0.059608	0.076255
-1.803274	0.060066	0.076290
-1.796991	0.060524	0.076325
-1.790708	0.060983	0.076359
-1.784425	0.061442	0.076391
-1.778141	0.061900	0.076423
-1.771858	0.062359	0.076453
-1.765575	0.062818	0.076483
-1.759292	0.063277	0.076511
-1.753009	0.063736	0.076539
-1.746726	0.064195	0.076565
-1.740442	0.064654	0.076591
-1.734159	0.065113	0.076615
-1.727876	0.065572	0.076639
-1.721593	0.066031	0.076661
-1.715310	0.066489	0.076683
-1.709026	0.066947	0.076703
-1.702743	0.067406	0.076723
-1.696460	0.067863	0.076742
-1.690177	0.068321	0.076760
-1.683894	0.068778	0.076777
-1.677610	0.069235	0.076792
-1.671327	0.069692	0.076807
-1.665044	0.070148	0.076822
-1.658761	0.070604	0.076835
-1.652478	0.071059	0.076847
-1.646195	0.071514	0.076858
-1.639911	0.071968	0.076869
-1.633628	0.072422	0.076878
-1.627345	0.072875	0.076887
-1.621062	0.073328	0.076894
-1.614779	0.073780	0.076901
-1.608495	0.074231	0.076907
-1.602212	0.074682	0.076912
-1.595929	0.075132	0.076916
-1.589646	0.075581	0.076919
-1.583363	0.076029	0.076921
-1.577080	0.076476	0.076923
-1.570796	0.076923	0.076923
-1.564513	0.077369	0.076923
-1.558230	0.077814	0.076921
-1.551947	0.078257	0.076919
-1.545664	0.078700	0.076916
-1.539380	0.079142	0.076912
-1.533097	0.079583	0.076907
-1.526814	0.080022	0.076901
-1.520531	0.080461	0.076894
-1.514248	0.080898	0.076887
-1.507964	0.081334	0.076878
-1.501681	0.081769	0.076869
-1.495398	0.082202	0.076858
-1.489115	0.082635	0.076847
-1.482832	0.083065	0.076835
-1.476549	0.083495	0.076822
-1.470265	0.083923	0.076807
-1.463982	0.084350	0.076792
-1.457699	0.084775	0.076777
-1.451416	0.085198	0.076760
-1.445133	0.085620	0.076742
-1.438849	0.086041	0.076723
-1.432566	0.086459	0.076703
-1.426283	0.086877	0.076683
-1.420000	0.087292	0.076661
-1.413717	0.087705	0.076639
-1.407434	0.088117	0.076615
-1.401150	0.088527	0.076591
-1.394867	0.088935	0.076565
-1.388584	0.089341	0.076539
-1.382301	0.089745	0.076511
-1.376018	0.090147	0.076483
-1.369734	0.090547	0.076453
-1.363451	0.090945	0.076423
-1.357168	0.091341	0.076391
-1.350885	0.091735	0.076359
-1.344602	0.092126	0.076325
-1.338318	0.092515	0.076290
-1.332035	0.092902	0.076255
-1.325752	0.093286	0.076218
-1.319469	0.093668	0.076180
-1.313186	0.094048	0.076141
-1.306903	0.094425	0.076101
-1.300619	0.094799	0.076060
-1.294336	0.095171	0.076018
-1.288053	0.095540	0.075974
-1.281770	0.095907	0.075930
-1.275487	0.096270	0.075884
-1.269203	0.096631	0.075837
-1.262920	0.096990	0.075789
-1.256637	0.097345	0.075740
-1.250354	0.097697	0.075690
-1.244071	0.098046	0.075638
-1.237788	0.098393	0.075585
-1.231504	0.098736	0.075531
-1.225221	0.099076	0.075476
-1.218938	0.099413	0.075419
-1.212655	0.099746	0.075361
-1.206372	0.100076	0.075302
-1.200088	0.100403	0.075242
-1.193805	0.100726	0.075180
-1.187522	0.101046	0.075116
-1.181239	0.101362	0.075052
-1.174956	0.101675	0.074986
-1.168672	0.101984	0.074918
-1.162389	0.102289	0.074850
-1.156106	0.102591	0.074779
-1.149823	0.102888	0.074708
-1.143540	0.103182	0.074634
-1.137257	0.103472	0.074560
-1.130973	0.103757	0.074483
-1.124690	0.104039	0.074405
-1.118407	0.104316	0.074326
-1.112124	0.104589	0.074245
-1.105841	0.104858	0.074162
-1.099557	0.105122	0.074078
-1.093274	0.105382	0.073992
-1.086991	0.105637	0.073905
-1.080708	0.105888	0.073815
-1.074425	0.106133	0.073724
-1.068142	0.106375	0.073631
-1.061858	0.106611	0.073536
-1.055575	0.106842	0.073440
-1.049292	0.107069	0.073341
-1.043009	0.107290	0.073241
-1.036726	0.107506	0.073139
-1.030442	0.107717	0.073035
-1.024159	0.107922	0.072929
-1.017876	0.108122	0.072820
-1.011593	0.108317	0.072710
-1.005310	0.108505	0.072598
-0.999026	0.108689	0.072483
-0.992743	0.108866	0.072367
-0.986460	0.109038	0.072248
-0.980177	0.109203	0.072127
-0.973894	0.109362	0.072004
-0.967611	0.109516	0.071878
-0.961327	0.109663	0.071750
-0.955044	0.109803	0.071620
-0.948761	0.109937	0.071487
-0.942478	0.110065	0.071351
-0.936195	0.110185	0.071214
-0.929911	0.110299	0.071073
-0.923628	0.110406	0.070930
-0.917345	0.110506	0.070784
-0.911062	0.110599	0.070636
-0.904779	0.110685	0.070485
