x,f_x,fourier_series,fft_restored,error_series,error_fft
-3.14159265358979,1,0.980233928082664,1,0.0197660719173361,0
-3.1384510609362,0.998001,0.980193932805581,0.998007804870604,0.0178070671944193,6.80487060444879e-06
-3.13530946828261,0.996004,0.980074003602394,0.996015609741209,0.0159299963976056,1.16097412092842e-05
-3.13216787562902,0.994009,0.979874310216609,0.994023414611814,0.0141346897833913,1.44146118136179e-05
-3.12902628297543,0.992016,0.979595135085531,0.992031890869137,0.0124208649144689,1.58908691373361e-05
-3.12588469032184,0.990025,0.979236872638928,0.990047492980955,0.0107881273610724,2.24929809548025e-05
-3.12274309766825,0.988036,0.978800028320044,0.988063095092772,0.00923597167995627,2.70950927725444e-05
-3.11960150501466,0.986049,0.978285217331879,0.98607869720459,0.00776378266812094,2.96972045902288e-05
-3.11645991236107,0.984064,0.977693163112424,0.984095642089845,0.006370836887576,3.16420898451852e-05
-3.11331831970748,0.982081,0.977024695543351,0.982119041442871,0.00505630445664929,3.80414428712283e-05
-3.1101767270539,0.9801,0.976280748897451,0.980142440795898,0.00381925110254888,4.2440795897658e-05
-3.10703513440031,0.978121,0.975462359530862,0.978165840148924,0.00265864046913744,4.48401489242523e-05
-3.10389354174672,0.976144,0.974570663326886,0.976191253662107,0.00157333667311366,4.72536621071162e-05
-3.10075194909313,0.974169,0.973606892898926,0.974222450256346,0.00056210710107385,5.3450256346288e-05
-3.09761035643954,0.972196,0.97257237456076,0.972253646850585,0.000376374560759896,5.76468505850691e-05
-3.09446876378595,0.970225,0.971468525073057,0.970284843444824,0.00124352507305769,5.98434448243479e-05
-3.09132717113236,0.968256,0.970296848175686,0.968318725585938,0.00204084817568595,6.2725585937784e-05
-3.08818557847877,0.966289,0.969058930915965,0.966357719421386,0.00276993091596445,6.87194213857545e-05
-3.08504398582518,0.964324,0.96775643978362,0.964396713256834,0.00343243978362007,7.27132568341116e-05
-3.08190239317159,0.962361,0.966391116663737,0.962435707092282,0.00403011666373665,7.47070922823001e-05
-3.078760800518,0.9604,0.964964774619509,0.960478057861325,0.00456477461950877,7.80578613256422e-05
-3.07561920786441,0.958441,0.963479293517081,0.958524848937987,0.00503829351708118,8.38489379867413e-05
-3.07247761521082,0.956484,0.961936615505202,0.956571640014648,0.00545261550520215,8.7640014648227e-05
-3.06933602255723,0.954529,0.960338740362799,0.954618431091309,0.00580974036279869,8.94310913094332e-05
-3.06619442990364,0.952576,0.958687720727953,0.952669250488282,0.00611172072795274,9.32504882822371e-05
-3.06305283725005,0.950625,0.956985657222054,0.950723838806152,0.0063606572220537,9.88388061523571e-05
-3.05991124459646,0.948676,0.955234693483186,0.948778427124022,0.00655869348318583,0.000102427124022419
-3.05676965194287,0.946729,0.953437011123015,0.946833015441893,0.00670801112301544,0.000104015441892646
-3.05362805928928,0.944784,0.951594824621635,0.944892303466795,0.00681082462163463,0.000108303466794801
-3.05048646663569,0.942841,0.949710376174946,0.942954689025878,0.0068693761749461,0.000113689025877828
-3.0473448739821,0.9409,0.947785930509259,0.94101707458496,0.00688593050925868,0.000117074584960353
-3.04420328132851,0.938961,0.945823769677803,0.939079460144043,0.00686276967780275,0.000118460144043153
-3.04106168867492,0.937024,0.943826187853881,0.937147216796875,0.00680218785388098,0.000123216796874659
-3.03792009602133,0.935089,0.941795486135297,0.935217399597167,0.00670648613529667,0.000128399597166817
-3.03477850336774,0.933156,0.93973396737463,0.933287582397459,0.00657796737463023,0.000131582397458918
-3.03163691071415,0.931225,0.93764393104977,0.931357765197751,0.0064189310497702,0.000132765197751072
-3.02849531806056,0.929296,0.935527668188933,0.929433990478514,0.0062316681889335,0.000137990478513705
-3.02535372540697,0.927369,0.933387456364171,0.927511970520019,0.00601845636417064,0.000142970520018437
-3.02221213275338,0.925444,0.931225554767081,0.925589950561524,0.0057815547670812,0.000145950561523778
-3.01907054009979,0.923521,0.929044199380146,0.923667930603029,0.005523199380146,0.000146930603028839
-3.0159289474462,0.9216,0.926845598256732,0.921752624511719,0.00524559825673221,0.000152624511719601
-3.01278735479261,0.919681,0.924631926922422,0.919838401794433,0.00495092692242172,0.000157401794433465
-3.00964576213902,0.917764,0.922405323909888,0.917924179077147,0.0046413239098877,0.00016017907714716
-3.00650416948543,0.915849,0.920167886439067,0.916009956359861,0.00431888643906686,0.000160956359861353
-3.00336257683184,0.913936,0.917921666253872,0.914103118896483,0.00398566625387164,0.000167118896482799
-3.00022098417825,0.912025,0.915668665626153,0.91219669342041,0.00364366562615337,0.000171693420409569
-2.99707939152466,0.910116,0.913410833537036,0.910290267944336,0.00329483353703552,0.000174267944335837
-2.99393779887107,0.908209,0.911150062045169,0.908384101867677,0.00294106204516931,0.000175101867676664
-2.99079620621748,0.906304,0.908888182850805,0.906485473632812,0.00258418285080531,0.00018147363281229
-2.98765461356389,0.904401,0.906626964063944,0.904586845397948,0.00222596406394471,0.000185845397948414
-2.9845130209103,0.9025,0.904368107184143,0.902688217163084,0.00186810718414321,0.000188217163084037
-2.98137142825671,0.900601,0.902113244298854,0.900790519714353,0.0015122442988541,0.000189519714352993
-2.97822983560312,0.898704,0.899863935506483,0.898899688720702,0.00115993550648352,0.000195688720701748
-2.97508824294953,0.896809,0.897621666569589,0.897008857727051,0.000812666569589005,0.000199857727050445
-2.97194665029594,0.894916,0.89538784680293,0.895118026733399,0.000471846802929998,0.000202026733399419
-2.96880505764235,0.893025,0.893163807200298,0.893228797912599,0.000138807200297797,0.000203797912599279
-2.96566346498876,0.891136,0.890950798803322,0.891345764160157,0.000185201196677753,0.000209764160157055
-2.96252187233517,0.889249,0.888749991314647,0.889462730407715,0.000499008685352798,0.000213730407714663
-2.95938027968158,0.887364,0.88656247195713,0.887579696655272,0.000801528042870148,0.000215696655272546
-2.956238687028,0.885481,0.884389244579924,0.885698936462401,0.00109175542007567,0.000217936462400758
-2.95309709437441,0.8836,0.882231229011547,0.883823699951171,0.00136877098845289,0.000223699951170553
-2.94995550172082,0.881721,0.880089260659252,0.88194846343994,0.00163173934074823,0.000227463439940512
-2.94681390906723,0.879844,0.87796409035329,0.88007322692871,0.00187990964670959,0.000229226928710302
-2.94367231641364,0.877969,0.875856384433875,0.878200935363769,0.00211261556612452,0.000231935363768754
-2.94053072376005,0.876096,0.87376672507793,0.876333496093749,0.00232927492207013,0.000237496093748457
-2.93738913110646,0.874225,0.871695610861975,0.874466056823728,0.00252938913802514,0.000241056823728436
-2.93424753845287,0.872356,0.869643457556821,0.872598617553708,0.0027125424431792,0.000242617553708246
-2.93110594579928,0.870489,0.867610599149001,0.870734794616697,0.002878400850999,0.000245794616696604
-2.92796435314569,0.868624,0.865597289083261,0.868875152587889,0.00302671091673878,0.000251152587888992
-2.9248227604921,0.866761,0.863603701719736,0.867015510559081,0.0031572982802639,0.000254510559081322
-2.92168116783851,0.8649,0.86162993399885,0.865155868530274,0.00327006600114976,0.000255868530273817
-2.91853957518492,0.863041,0.859676007306371,0.863300514221192,0.00336499269362944,0.000259514221191748
-2.91539798253133,0.861184,0.857741869530479,0.861448669433593,0.00344213046952058,0.000264669433593601
-2.91225638987774,0.859329,0.855827397302205,0.859596824645995,0.00350160269779454,0.000267824645994952
-2.90911479722415,0.857476,0.853932398410041,0.857744979858396,0.0035436015899587,0.000268979858396579
-2.90597320457056,0.855625,0.852056614379112,0.855898094177244,0.00356838562088857,0.000273094177244082
-2.90283161191697,0.853776,0.850199723204821,0.854054046630858,0.00357627679517947,0.000278046630857842
-2.89969001926338,0.851929,0.848361342230512,0.852209999084472,0.00356765776948753,0.000280999084471878
-2.89654842660979,0.850084,0.846541031158311,0.850365951538086,0.0035429688416887,0.000281951538085634
-2.8934068339562,0.848241,0.844738295181998,0.848527534484863,0.00350270481800219,0.000286534484862822
-2.89026524130261,0.8464,0.842952588230478,0.846691284179686,0.00344741176952201,0.000291284179686047
-2.88712364864902,0.844561,0.841183316310174,0.84485503387451,0.00337768368982594,0.000294033874509991
-2.88398205599543,0.842724,0.839429840934454,0.843018783569333,0.0032941590655462,0.000294783569333212
-2.88084046334184,0.840889,0.837691482628061,0.841188835144041,0.00319751737193874,0.000299835144040972
-2.87769887068825,0.839056,0.835967524494374,0.839360382080077,0.0030884755056263,0.000304382080077104
-2.87455727803466,0.837225,0.834257215833254,0.837531929016113,0.00296778416674659,0.000306929016113178
-2.87141568538107,0.835396,0.832559775797205,0.835703475952149,0.00283622420279472,0.000307475952149527
-2.86827409272748,0.833569,0.830874397073563,0.833881996154786,0.00269460292643664,0.000312996154785639
-2.86513250007389,0.831744,0.829200249580466,0.832061340332031,0.00254375041953392,0.000317340332031013
-2.8619909074203,0.829921,0.827536484164476,0.830240684509276,0.00238451583552379,0.000319684509276108
-2.85884931476671,0.8281,0.825882236287801,0.828420028686522,0.0022177637121984,0.000320028686521812
-2.85570772211312,0.826281,0.824236629693265,0.826607017517089,0.00204437030673488,0.000326017517088606
-2.85256612945953,0.824464,0.822598780035349,0.824794158935546,0.00186521996465105,0.000330158935545888
-2.84942453680594,0.822649,0.820967798465887,0.822981300354004,0.00168120153411266,0.000332300354003556
-2.84628294415235,0.820836,0.819342795163256,0.821168960571289,0.00149320483674387,0.000332960571289065
-2.84314135149876,0.819025,0.817722882794214,0.819363899230956,0.00130211720578621,0.000338899230956535
-2.83999975884517,0.817216,0.816107179897898,0.817558837890624,0.00110882010210189,0.000342837890623726
-2.83685816619158,0.815409,0.81449481418185,0.815753776550291,0.000914185818149948,0.000344776550291193
-2.83371657353799,0.813604,0.812884925720351,0.813949905395505,0.000719074279649345,0.000345905395505497
-2.8305749808844,0.811801,0.81127667004579,0.812152641296385,0.000524329954210145,0.000351641296385319
